Tweet_ID,Timestamp,User_name,Location,Language,Tweet_text,Hashtags,ReTweets,Likes,Sentiment,cleaned_text
100000,2025-06-07 10:00:00,@aroraseher,Uttar Pradesh,English,The new policy is disappointing.,#traffic,31,57,Negative,The new policy is disappointing.
100001,2025-06-07 10:00:00,@nirvaan32,Odisha,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,69,22,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100002,2025-06-07 10:00:00,@sandhuseher,Maharashtra,unknown,Enjoying the weekend vibes!,#policy,27,59,Positive,Enjoying the weekend vibes!
100003,2025-06-07 10:00:00,@rajagopalaarna,Tamil Nadu,English,Traffic is crazy in Bangalore today.,#traffic,91,166,Negative,Traffic is crazy in Bangalore today.
100004,2025-06-07 10:01:00,@auroradivij,Punjab,English,Traffic is crazy in Bangalore today.,"#policy,#weekend",35,1,Negative,Traffic is crazy in Bangalore today.
100005,2025-06-07 10:01:00,@mehulkrishnan,Delhi,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",27,195,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100006,2025-06-07 10:01:00,@mandkiaan,Maharashtra,Hindi,आज मौसम बहुत अच्छा है।,#दिल्ली,45,88,Neutral,आज मौसम बहुत अच्छा है।
100007,2025-06-07 10:01:00,@cchoudhary,Telangana,unknown,Enjoying the weekend vibes!,#traffic,68,31,Positive,Enjoying the weekend vibes!
100008,2025-06-07 10:02:00,@zoya02,Punjab,Hindi,आज मौसम बहुत अच्छा है।,"#फिल्म,#दिल्ली",24,180,Neutral,आज मौसम बहुत अच्छा है।
100009,2025-06-07 10:02:00,@rgarde,Maharashtra,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಬೆಂಗಳೂರು,29,25,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100010,2025-06-07 10:02:00,@madhavsingh,Delhi,Hindi,मैं फिल्म देखने गया था।,"#फिल्म,#दिल्ली",47,90,Neutral,मैं फिल्म देखने गया था।
100011,2025-06-07 10:02:00,@ehsaan16,Punjab,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಸಿನಿಮಾ,#ಮಳೆ",81,43,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100012,2025-06-07 10:03:00,@golashray,Telangana,English,Traffic is crazy in Bangalore today.,#policy,48,69,Negative,Traffic is crazy in Bangalore today.
100013,2025-06-07 10:03:00,@zara07,Kerala,English,Traffic is crazy in Bangalore today.,#traffic,98,198,Negative,Traffic is crazy in Bangalore today.
100014,2025-06-07 10:03:00,@gulatidhanush,West Bengal,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಬೆಂಗಳೂರು,34,16,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100015,2025-06-07 10:03:00,@mishti95,West Bengal,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಮಳೆ,#ಬೆಂಗಳೂರು",82,117,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100016,2025-06-07 10:04:00,@reneebanerjee,Odisha,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಮಳೆ,71,137,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100017,2025-06-07 10:04:00,@sahotamanikya,Kerala,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#फिल्म,#दिल्ली",28,35,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100018,2025-06-07 10:04:00,@dhanush31,Jharkhand,English,Enjoying the weekend vibes!,#policy,14,39,Positive,Enjoying the weekend vibes!
100019,2025-06-07 10:04:00,@ddewan,West Bengal,English,The new policy is disappointing.,"#traffic,#policy",48,152,Negative,The new policy is disappointing.
100020,2025-06-07 10:05:00,@ishaan55,Bihar,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#फिल्म,#मौसम",92,29,Neutral,दिल्ली की ट्रैफिक बहुत ज्यादा है।
100021,2025-06-07 10:05:00,@oorjadeol,Maharashtra,English,Traffic is crazy in Bangalore today.,"#traffic,#weekend",37,111,Negative,Traffic is crazy in Bangalore today.
100022,2025-06-07 10:05:00,@ramanathanmyra,Rajasthan,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಸಿನಿಮಾ,92,67,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100023,2025-06-07 10:05:00,@hazelsethi,Uttar Pradesh,English,The new policy is disappointing.,#traffic,81,129,Negative,The new policy is disappointing.
100024,2025-06-07 10:06:00,@ishaankashyap,Assam,English,The new policy is disappointing.,#weekend,20,138,Negative,The new policy is disappointing.
100025,2025-06-07 10:06:00,@odeshmukh,Maharashtra,English,The new policy is disappointing.,"#weekend,#policy",46,78,Negative,The new policy is disappointing.
100026,2025-06-07 10:06:00,@piyagaba,Maharashtra,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,10,187,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100027,2025-06-07 10:06:00,@contractorarhaan,Bihar,Hindi,आज मौसम बहुत अच्छा है।,#मौसम,60,140,Neutral,आज मौसम बहुत अच्छा है।
100028,2025-06-07 10:07:00,@yakshit41,Odisha,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಮಳೆ,#ಸಿನಿಮಾ",39,102,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100029,2025-06-07 10:07:00,@jiyavora,Maharashtra,English,Traffic is crazy in Bangalore today.,"#weekend,#traffic",31,57,Negative,Traffic is crazy in Bangalore today.
100030,2025-06-07 10:07:00,@lakshit76,Gujarat,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಸಿನಿಮಾ,29,150,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
100031,2025-06-07 10:07:00,@qbora,Bihar,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,7,58,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100032,2025-06-07 10:08:00,@nishithsharma,Uttar Pradesh,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಮಳೆ,#ಸಿನಿಮಾ",85,124,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100033,2025-06-07 10:08:00,@siya96,Rajasthan,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,73,147,Neutral,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.
100034,2025-06-07 10:08:00,@ogolla,Maharashtra,Hindi,आज मौसम बहुत अच्छा है।,"#दिल्ली,#मौसम",12,168,Neutral,आज मौसम बहुत अच्छा है।
100035,2025-06-07 10:08:00,@diyakoshy,Jharkhand,Hindi,मैं फिल्म देखने गया था।,"#दिल्ली,#फिल्म",93,13,Neutral,मैं फिल्म देखने गया था।
100036,2025-06-07 10:09:00,@shroffbadal,West Bengal,English,Traffic is crazy in Bangalore today.,#policy,93,86,Negative,Traffic is crazy in Bangalore today.
100037,2025-06-07 10:09:00,@bosemishti,Gujarat,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಮಳೆ,57,35,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100038,2025-06-07 10:09:00,@vritikasangha,Jharkhand,Hindi,आज मौसम बहुत अच्छा है।,"#दिल्ली,#मौसम",9,113,Neutral,आज मौसम बहुत अच्छा है।
100039,2025-06-07 10:09:00,@eraju,Gujarat,English,The new policy is disappointing.,#traffic,1,23,Negative,The new policy is disappointing.
100040,2025-06-07 10:10:00,@mhalder,Tamil Nadu,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",51,15,Neutral,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.
100041,2025-06-07 10:10:00,@qlalla,Uttar Pradesh,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಬೆಂಗಳೂರು,100,200,Neutral,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.
