Tweet_ID,Timestamp,User_name,Location,Language,Tweet_text,Hashtags,ReTweets,Likes,Sentiment
100000,6/7/2025 10:00,@aroraseher,Uttar Pradesh,English,The new policy is disappointing.,#traffic,31,57,Negative
100001,6/7/2025 10:00,@nirvaan32,Odisha,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,69,22,Neutral
100002,6/7/2025 10:00,@sandhuseher,Maharashtra,English,Enjoying the weekend vibes!,#policy,27,59,Positive
100003,6/7/2025 10:00,@rajagopalaarna,Tamil Nadu,English,Traffic is crazy in Bangalore today.,#traffic,91,166,Negative
100004,6/7/2025 10:01,@auroradivij,Punjab,English,Traffic is crazy in Bangalore today.,"#policy,#weekend",35,1,Negative
100005,6/7/2025 10:01,@mehulkrishnan,Delhi,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",27,195,Neutral
100006,6/7/2025 10:01,@mandkiaan,Maharashtra,Hindi,आज मौसम बहुत अच्छा है।,#दिल्ली,45,88,Neutral
100007,6/7/2025 10:01,@cchoudhary,Telangana,English,Enjoying the weekend vibes!,#traffic,68,31,Positive
100008,6/7/2025 10:02,@zoya02,Punjab,Hindi,आज मौसम बहुत अच्छा है।,"#फिल्म,#दिल्ली",24,180,Neutral
100009,6/7/2025 10:02,@rgarde,Maharashtra,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಬೆಂಗಳೂರು,29,25,Neutral
100010,6/7/2025 10:02,@madhavsingh,Delhi,Hindi,मैं फिल्म देखने गया था।,"#फिल्म,#दिल्ली",47,90,Neutral
100011,6/7/2025 10:02,@ehsaan16,Punjab,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಸಿನಿಮಾ,#ಮಳೆ",81,43,Neutral
100012,6/7/2025 10:03,@golashray,Telangana,English,Traffic is crazy in Bangalore today.,#policy,48,69,Negative
100013,6/7/2025 10:03,@zara07,Kerala,English,Traffic is crazy in Bangalore today.,#traffic,98,198,Negative
100014,6/7/2025 10:03,@gulatidhanush,West Bengal,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಬೆಂಗಳೂರು,34,16,Neutral
100015,6/7/2025 10:03,@mishti95,West Bengal,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,"#ಮಳೆ,#ಬೆಂಗಳೂರು",82,117,Neutral
100016,6/7/2025 10:04,@reneebanerjee,Odisha,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಮಳೆ,71,137,Neutral
100017,6/7/2025 10:04,@sahotamanikya,Kerala,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#फिल्म,#दिल्ली",28,35,Neutral
100018,6/7/2025 10:04,@dhanush31,Jharkhand,English,Enjoying the weekend vibes!,#policy,14,39,Positive
100019,6/7/2025 10:04,@ddewan,West Bengal,English,The new policy is disappointing.,"#traffic,#policy",48,152,Negative
100020,6/7/2025 10:05,@ishaan55,Bihar,Hindi,दिल्ली की ट्रैफिक बहुत ज्यादा है।,"#फिल्म,#मौसम",92,29,Neutral
100021,6/7/2025 10:05,@oorjadeol,Maharashtra,English,Traffic is crazy in Bangalore today.,"#traffic,#weekend",37,111,Negative
100022,6/7/2025 10:05,@ramanathanmyra,Rajasthan,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಸಿನಿಮಾ,92,67,Neutral
100023,6/7/2025 10:05,@hazelsethi,Uttar Pradesh,English,The new policy is disappointing.,#traffic,81,129,Negative
100024,6/7/2025 10:06,@ishaankashyap,Assam,English,The new policy is disappointing.,#weekend,20,138,Negative
100025,6/7/2025 10:06,@odeshmukh,Maharashtra,English,The new policy is disappointing.,"#weekend,#policy",46,78,Negative
100026,6/7/2025 10:06,@piyagaba,Maharashtra,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,10,187,Neutral
100027,6/7/2025 10:06,@contractorarhaan,Bihar,Hindi,आज मौसम बहुत अच्छा है।,#मौसम,60,140,Neutral
100028,6/7/2025 10:07,@yakshit41,Odisha,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಮಳೆ,#ಸಿನಿಮಾ",39,102,Neutral
100029,6/7/2025 10:07,@jiyavora,Maharashtra,English,Traffic is crazy in Bangalore today.,"#weekend,#traffic",31,57,Negative
100030,6/7/2025 10:07,@lakshit76,Gujarat,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಸಿನಿಮಾ,29,150,Neutral
100031,6/7/2025 10:07,@qbora,Bihar,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,7,58,Neutral
100032,6/7/2025 10:08,@nishithsharma,Uttar Pradesh,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಮಳೆ,#ಸಿನಿಮಾ",85,124,Neutral
100033,6/7/2025 10:08,@siya96,Rajasthan,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,73,147,Neutral
100034,6/7/2025 10:08,@ogolla,Maharashtra,Hindi,आज मौसम बहुत अच्छा है।,"#दिल्ली,#मौसम",12,168,Neutral
100035,6/7/2025 10:08,@diyakoshy,Jharkhand,Hindi,मैं फिल्म देखने गया था।,"#दिल्ली,#फिल्म",93,13,Neutral
100036,6/7/2025 10:09,@shroffbadal,West Bengal,English,Traffic is crazy in Bangalore today.,#policy,93,86,Negative
100037,6/7/2025 10:09,@bosemishti,Gujarat,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಮಳೆ,57,35,Neutral
100038,6/7/2025 10:09,@vritikasangha,Jharkhand,Hindi,आज मौसम बहुत अच्छा है।,"#दिल्ली,#मौसम",9,113,Neutral
100039,6/7/2025 10:09,@eraju,Gujarat,English,The new policy is disappointing.,#traffic,1,23,Negative
100040,6/7/2025 10:10,@mhalder,Tamil Nadu,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,"#ಬೆಂಗಳೂರು,#ಸಿನಿಮಾ",51,15,Neutral
100041,6/7/2025 10:10,@qlalla,Uttar Pradesh,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,#ಬೆಂಗಳೂರು,100,200,Neutral
100042,6/7/2025 10:10,@sanghasaira,Delhi,Hindi,मैं फिल्म देखने गया था।,"#फिल्म,#दिल्ली",24,75,Neutral
100043,6/7/2025 10:10,@sanghviheer,Kerala,Kannada,ನಮ್ಮ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾಗಿದೆ.,#ಸಿನಿಮಾ,7,12,Neutral
100044,6/7/2025 10:11,@tiya51,Gujarat,English,Enjoying the weekend vibes!,#policy,10,47,Positive
100045,6/7/2025 10:11,@adira27,Jharkhand,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,30,103,Neutral
100046,6/7/2025 10:11,@sensaira,Punjab,Kannada,ಬೆಂಗಳೂರಿನಲ್ಲಿ today traffic ತುಂಬಾ ಇದೆ.,#ಸಿನಿಮಾ,5,158,Neutral
100047,6/7/2025 10:11,@damini28,Bihar,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಬೆಂಗಳೂರು,#ಮಳೆ",91,80,Neutral
100048,6/7/2025 10:12,@virkmishti,Telangana,Kannada,ನಾನು ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದೇನೆ.,"#ಮಳೆ,#ಬೆಂಗಳೂರು",40,192,Neutral
